Worker,Jobs,Timeline
PC5,wimnetsimulatora,11
PC4,apca,112
PC4,dcgana,512
PC3,recurrentnetworka,1013
PC6,mnista,1813
PC4,ffmpega,2113
PC5,convertera,2514
PC4,palabosa,3014
PC3,opma,3214
PC5,bitcoinhhcoina,3515
PC5,covid19traintestcoa,3715
PC2,covid19countrycoa,3915
PC4,ffmpegresizea,4216
PC5,ffmpegchangea,4516
PC5,wimnetsimulatorb,5216
PC4,apcb,6116
PC3,dcganb,6317
PC2,recurrentnetworkb,6817
PC4,mnistb,7017
PC4,ffmpeg,7317
PC5,converter,7918
PC3,palabosb,8518
PC5,opmb,8718
PC5,bitcoinhhcoin,9319
PC4,covid19traintestco,9719
PC5,covid19countryco,10119
PC5,ffmpegresize,10919
PC4,ffmpegchange,11619
